Company,Location,Level Name,Role,Years of Experience,Years at Company,Total Compensation,Compensation Breakdown
CI&T,"Campinas, SP, Brazil",Senior,Full Stack,6  yrs,1  yr,"R$120,000",120K | N/A | N/A
Amor saude,"Ribeirao Preto, SP, Brazil",Junior,Full Stack,1  yr,1  yr,"R$36,000",36K | N/A | N/A
Framework,"Belo Horizonte, MG, Brazil",Entry Level,Web Development (Front-End),3  yrs,3  yrs,"R$32,000",32K | N/A | N/A
Globant,"Sao Paulo, SP, Brazil",Senior 2,Android,5  yrs,2  yrs,"R$194,500",174K | 6K | 14.5K
Google,"Sao Paulo, SP, Brazil",L1,Android,1  yr,1  yr,"R$120,000",120K | N/A | N/A
Object Edge,"Porto Alegre, RS, Brazil",L3,Web Development (Front-End),5  yrs,3  yrs,"R$111,000",96K | N/A | 15K
Intive,"Sao Paulo, SP, Brazil",L5,API Development (Back-End),12  yrs,1  yr,"R$375,088",375.1K | N/A | N/A
Nubank,"Sao Paulo, SP, Brazil",IC5,Distributed Systems (Back-End),5  yrs,3  yrs,"R$377,972",271.6K | 88.2K | 18.1K
Itau,"Sao Paulo, SP, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$300,000",240K | N/A | 60K
GFT Group,"Curitiba, PR, Brazil",Senior Software Engineer,API Development (Back-End),7  yrs,5  yrs,"R$150,000",150K | N/A | N/A
Deel,"Porto Alegre, RS, Brazil",Senior Software Engineer,Distributed Systems (Back-End),10  yrs,2  yrs,"R$505,000",480K | 25K | N/A
Anonymous,"Santos, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$60,000",60K | N/A | N/A
Quinto Andar,"Sao Paulo, SP, Brazil",L3,Full Stack,5-10  yrs,5-10  yrs,"R$228,000",198K | N/A | 30K
SICPA,"Rio de Janeiro, RJ, Brazil",L3,Full Stack,4  yrs,2  yrs,"R$132,000",132K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$96,000",96K | N/A | N/A
Google,"Sao Paulo, SP, Brazil",L3,Android,7  yrs,0  yrs,"R$230,000",230K | N/A | N/A
Allied,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),5  yrs,2  yrs,"R$180,000",180K | N/A | N/A
MPT,"Brasilia, DF, Brazil",Senior,Data,18  yrs,10  yrs,"R$300,000",300K | N/A | N/A
Trakto,"Maceio, AL, Brazil",Senior,Distributed Systems (Back-End),15  yrs,8  yrs,"R$122,000",122K | N/A | N/A
Trakto,"Maceio, AL, Brazil",Senior,Distributed Systems (Back-End),15  yrs,8  yrs,"R$122,400",122.4K | N/A | N/A
Mercado Libre,"Sao Paulo, SP, Brazil",Senior Software Engineer,Distributed Systems (Back-End),8  yrs,2  yrs,"R$244,400",225.6K | N/A | 18.8K
Sermo,"Sao Paulo, SP, Brazil",Junior,Data,3  yrs,0  yrs,"R$228,000",228K | N/A | N/A
Anonymous,"Maceio, AL, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$51,840",51.8K | N/A | N/A
kea,"Brasilia, DF, Brazil",L2,-,8  yrs,4  yrs,"R$488,739",488.7K | N/A | N/A
Google,"Belo Horizonte, MG, Brazil",L3,Data,0  yrs,0  yrs,"R$243,405",160K | 83.4K | N/A
Orbee,"Sao Carlos, SP, Brazil",-,DevOps,5  yrs,3  yrs,"R$121,237",121.2K | N/A | N/A
DCC,"Belo Horizonte, MG, Brazil",-,Data,5  yrs,2  yrs,"R$9,360",9.4K | N/A | N/A
Mindera,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),20  yrs,2  yrs,"R$383,916",383.9K | N/A | N/A
Pagar.me,"Sao Paulo, SP, Brazil",L3,Distributed Systems (Back-End),6  yrs,3  yrs,"R$145,600",145.6K | N/A | N/A
Varsity Tutors,"Sao Paulo, SP, Brazil",L5,Production,8  yrs,1  yr,"R$500,377",500.4K | N/A | N/A
Buzzlabs,"Sao Paulo, SP, Brazil",-,Full Stack,5  yrs,1  yr,"R$156,000",156K | N/A | N/A
Payzen,"Belo Horizonte, MG, Brazil",Mid Level,Full Stack,5  yrs,2  yrs,"R$406,836",406.8K | N/A | N/A
GLOBO,"Rio de Janeiro, RJ, Brazil",L5,Full Stack,13  yrs,6  yrs,"R$173,000",156K | 17K | N/A
Itau,"Sao Paulo, SP, Brazil",Mid Level,Distributed Systems (Back-End),3  yrs,3  yrs,"R$128,000",108K | N/A | 20K
GFT Group,"Sao Paulo, SP, Brazil",Software Engineer,API Development (Back-End),4  yrs,1  yr,"R$78,000",78K | N/A | N/A
iFood,"Osasco, SP, Brazil",I13,API Development (Back-End),5  yrs,0  yrs,"R$168,000",168K | N/A | N/A
Pitang,"Recife, PE, Brazil",Senior,API Development (Back-End),19  yrs,1  yr,"R$176,628",176.6K | N/A | N/A
Microsoft,"Sao Paulo, SP, Brazil",62,Distributed Systems (Back-End),7  yrs,3  yrs,"R$240,000",200K | 40K | N/A
Clevertech,"Sao Paulo, SP, Brazil",Senior,Full Stack,12  yrs,1  yr,"R$406,441",406.4K | N/A | N/A
Hotel Engine,"Sao Paulo, SP, Brazil",Senior,API Development (Back-End),11+  yrs,11+  yrs,"R$110,000",110K | N/A | N/A
Comm.tec,"Sao Paulo, SP, Brazil",L3,Web Development (Front-End),0  yrs,0  yrs,"R$13,200",13.2K | N/A | N/A
Anonymous,"Curitiba, PR, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$135,000",120K | N/A | 15K
Anonymous,"Sao Jose dos Campos, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$140,000",140K | N/A | N/A
Anonymous,"Bauru, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$74,600",54.6K | N/A | 20K
BEJS,"Rio de Janeiro, RJ, Brazil",4,Networking,1  yr,1  yr,"R$90,000",90K | N/A | N/A
Itau,"Sao Paulo, SP, Brazil",technical  leader,Distributed Systems (Back-End),10  yrs,2  yrs,"R$271,000",237K | N/A | 34K
ThoughtWorks,"Belo Horizonte, MG, Brazil",Lead Consultant,Full Stack,14  yrs,6  yrs,"R$286,000",286K | N/A | N/A
ThoughtWorks,"Recife, PE, Brazil",Consultant,Full Stack,4  yrs,3  yrs,"R$90,000",90K | N/A | N/A
Mercado Libre,"Sao Paulo, SP, Brazil",Senior Software Engineer,Distributed Systems (Back-End),5  yrs,1  yr,"R$252,200",232.8K | N/A | 19.4K
Santander Bank,"Sao Paulo, SP, Brazil",L3,API Development (Back-End),4  yrs,3  yrs,"R$108,000",108K | N/A | N/A
Nubank,"Sao Paulo, SP, Brazil",IC5,Data,10  yrs,3  yrs,"R$372,127",253.4K | 100.7K | 18K
KnowBe4,"Sao Paulo, SP, Brazil",Staff,Full Stack,10  yrs,2  yrs,"R$568,364",557.2K | N/A | 11.1K
Loggi,"Sao Paulo, SP, Brazil",Senior,Full Stack,5  yrs,5  yrs,"R$240,000",180K | 30K | 30K
Sodexo,"1Vitoria, ES, Brazil",L3,Full Stack,6  yrs,1  yr,"R$240,000",240K | N/A | N/A
FAB,"Rio de Janeiro, RJ, Brazil",Senior,Full Stack,14  yrs,14  yrs,"R$125,000",85K | 40K | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$90,000",90K | N/A | N/A
DBCompany,"Porto Alegre, RS, Brazil",-,Testing (SDET),1  yr,1  yr,"R$37,200",37.2K | N/A | N/A
The Chamber of De...,"Brasilia, DF, Brazil",L3,Full Stack,10  yrs,1  yr,"R$400,000",400K | N/A | N/A
NoRedInk,"Osasco, SP, Brazil",Software Engineer II,Full Stack,7  yrs,2  yrs,"R$654,161",654.2K | N/A | N/A
Zwift,"Rio de Janeiro, RJ, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$400,000",400K | N/A | N/A
Café,"Sao Paulo, SP, Brazil",Senior,Distributed Systems (Back-End),5  yrs,3  yrs,"R$192,000",192K | N/A | N/A
Bradesco,"Sao Paulo, SP, Brazil",Senior,Full Stack,4  yrs,0  yrs,"R$266,000",227.5K | N/A | 38.5K
Nubank,"Sao Paulo, SP, Brazil",IC4,Distributed Systems (Back-End),3  yrs,2  yrs,"R$227,582",144K | 83.6K | N/A
Avanade,"Recife, PE, Brazil",Consultant,API Development (Back-End),15  yrs,3  yrs,"R$156,000",156K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$216,000",216K | N/A | N/A
Artefact,"Sao Paulo, SP, Brazil",III,Data,3  yrs,2  yrs,"R$120,900",111.6K | N/A | 9.3K
Alice,"Sao Paulo, SP, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$223,000",223K | N/A | N/A
SGD,"Brasilia, DF, Brazil",L2,DevOps,7  yrs,3  yrs,"R$150,000",150K | N/A | N/A
